Language,word_in_children_res,word_in_second_lang_learn_res,en_lemmas,n_hyponyms,n_synonyms,n_syn_senses,avg_word_length,avg_pronounce_complexity,avg_word_frequency,avg_n_senses,example_en_lemma,example_en_gloss,ili
it,1,0,"coast, sea-coast, seashore",0,6,28,5.75,0.27775,0.000047,5.5,coast,the shore of a sea or ocean,i86148
es,0,1,"coast, sea-coast, seashore",1,2,6,5,0.375,0.000079,3,coast,the shore of a sea or ocean,i86148
en,0,0,"coast, sea-coast, seashore",9,4,7,7.333333,0.461667,0.00004,2,coast,the shore of a sea or ocean,i86148
nb,0,1,"coast, sea-coast, seashore",0,3,3,7.333333,0.715,0.000001,1,coast,the shore of a sea or ocean,i86148
en,0,1,sun,0,2,8,3,0.192,0.000093,6,sun,the star that is the source of light and heat for the planets in the solar system,i86272
it,0,1,sun,0,2,12,4,0.188,0.000135,11,sun,the star that is the source of light and heat for the planets in the solar system,i86272
es,0,1,sun,0,1,7,3,0.183,0.000123,7,sun,the star that is the source of light and heat for the planets in the solar system,i86272
nb,0,1,sun,0,1,2,3,0.187,0.000031,2,sun,the star that is the source of light and heat for the planets in the solar system,i86272
it,0,0,"vale, valley",7,3,5,5.666667,0.371,0.000018,1.666667,vale,a long depression in the surface of the land that usually contains a river,i86379
es,0,1,"vale, valley",3,1,1,5,0.195,0.000046,1,vale,a long depression in the surface of the land that usually contains a river,i86379
nb,0,1,"vale, valley",0,1,1,3,0.191,0.000009,1,vale,a long depression in the surface of the land that usually contains a river,i86379
en,0,0,"vale, valley",12,2,2,5,0.19,0.000028,1,vale,a long depression in the surface of the land that usually contains a river,i86379
it,0,0,"waterfall, falls",1,3,12,8.333333,0.396,0.000002,4,waterfall,a steep descent of the water of a river,i86414
nb,0,1,"waterfall, falls",0,2,4,4,0.196,0.000106,2,waterfall,a steep descent of the water of a river,i86414
en,0,0,"waterfall, falls",16,2,3,7,0.5245,0.000023,1.5,waterfall,a steep descent of the water of a river,i86414
es,0,0,"waterfall, falls",9,1,2,7,0.766,0.000004,2,waterfall,a steep descent of the water of a river,i86414
nb,1,1,nature,0,1,10,5,0.206,0.000039,10,nature,a causal agent creating and controlling things in the universe,i86562
it,0,1,nature,0,1,9,6,0.198,0.000123,9,nature,a causal agent creating and controlling things in the universe,i86562
es,0,1,nature,0,1,5,10,0.197,0.000083,5,nature,a causal agent creating and controlling things in the universe,i86562
en,0,0,nature,0,1,5,6,0.599,0.000096,5,nature,a causal agent creating and controlling things in the universe,i86562
nb,0,1,"fisherman, fisher",0,1,1,6,0.804,0.000013,1,fisherman,someone whose occupation is catching fish,i89974
en,0,0,"fisherman, fisher",2,2,3,7.5,0.5185,0.000007,1.5,fisherman,someone whose occupation is catching fish,i89974
it,0,0,"fisherman, fisher",1,1,2,9,0.773,0.000004,2,fisherman,someone whose occupation is catching fish,i89974
es,0,0,"fisherman, fisher",0,1,1,8,0.761,0.000004,1,fisherman,someone whose occupation is catching fish,i89974
nb,1,1,"invitee, guest",0,1,2,5,0.357,0.000018,2,invitee,a visitor to whom hospitality is extended,i90350
it,1,0,"invitee, guest",0,2,8,7,0.763,0.000024,4,invitee,a visitor to whom hospitality is extended,i90350
en,1,0,"invitee, guest",3,2,5,6,0.281,0.000019,2.5,invitee,a visitor to whom hospitality is extended,i90350
es,0,0,"invitee, guest",1,2,5,7.5,0.7435,0.000014,2.5,invitee,a visitor to whom hospitality is extended,i90350
it,1,1,"king, male monarch, rex",4,1,9,2,0.176,0.000182,9,king,a male sovereign; ruler of a kingdom,i90847
en,1,0,"king, male monarch, rex",79,3,12,6.333333,0.508667,0.000053,4,king,a male sovereign; ruler of a kingdom,i90847
es,1,1,"king, male monarch, rex",9,2,6,5,0.188,0.000091,3,king,a male sovereign; ruler of a kingdom,i90847
nb,1,1,"king, male monarch, rex",0,1,3,5,0.334,0.000044,3,king,a male sovereign; ruler of a kingdom,i90847
nb,0,1,prince,0,1,1,5,0.786,0.000016,1,prince,a male member of a royal family other than the sovereign (especially the son of a sovereign),i92240
en,0,0,prince,14,1,1,6,0.715,0.000053,1,prince,a male member of a royal family other than the sovereign (especially the son of a sovereign),i92240
it,0,0,prince,11,1,2,8,0.855,0.000056,2,prince,a male member of a royal family other than the sovereign (especially the son of a sovereign),i92240
es,0,0,prince,1,1,1,8,0.821,0.000042,1,prince,a male member of a royal family other than the sovereign (especially the son of a sovereign),i92240
it,0,0,saint,4,3,6,3.333333,0.196333,0.000194,2,saint,a person who has died and has been declared a saint by canonization,i92688
es,0,0,saint,13,1,3,5,0.201,0.000074,3,saint,a person who has died and has been declared a saint by canonization,i92688
en,0,0,saint,45,1,3,5,0.206,0.000026,3,saint,a person who has died and has been declared a saint by canonization,i92688
nb,0,0,saint,0,1,1,6,0.75,0.000044,1,saint,a person who has died and has been declared a saint by canonization,i92688
it,0,0,fog,2,2,8,7,0.4875,0.000006,4,fog,droplets of water vapor suspended in the air near the ground,i97801
en,0,0,fog,4,1,3,3,0.199,0.000008,3,fog,droplets of water vapor suspended in the air near the ground,i97801
nb,0,0,fog,1,1,2,4,0.598,0.000007,2,fog,droplets of water vapor suspended in the air near the ground,i97801
es,0,0,fog,0,1,1,6,0.676,0.000008,1,fog,droplets of water vapor suspended in the air near the ground,i97801
it,0,0,"storm, violent storm",5,7,28,7.666667,0.743,0.000014,4.666667,storm,a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning,i97824
nb,0,1,"storm, violent storm",0,2,2,4.5,0.771,0.000013,1,storm,a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning,i97824
en,0,0,"storm, violent storm",8,2,4,9,0.8035,0.000032,2,storm,a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning,i97824
es,0,0,"storm, violent storm",4,2,4,12.5,0.8425,0.000018,2,storm,a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning,i97824
it,1,1,"rainfall, rain",7,2,15,6,0.5375,0.000115,7.5,rainfall,water falling in drops from vapor condensed in the atmosphere,i98034
en,1,1,"rainfall, rain",5,2,4,6,0.4805,0.000029,2,rainfall,water falling in drops from vapor condensed in the atmosphere,i98034
es,1,1,"rainfall, rain",3,1,3,6,0.186,0.000041,3,rainfall,water falling in drops from vapor condensed in the atmosphere,i98034
nb,1,1,"rainfall, rain",1,2,2,5.5,0.506,0.000013,1,rainfall,water falling in drops from vapor condensed in the atmosphere,i98034
nb,0,1,"snow, snowfall",0,1,1,3,0.486,0.000038,1,snow,precipitation falling from clouds in the form of ice crystals,i98073
en,0,1,"snow, snowfall",2,2,5,6,0.196,0.000024,2.5,snow,precipitation falling from clouds in the form of ice crystals,i98073
it,0,0,"snow, snowfall",2,2,5,6,0.1995,0.000015,2.5,snow,precipitation falling from clouds in the form of ice crystals,i98073
es,0,0,"snow, snowfall",0,1,4,5,0.208,0.000024,4,snow,precipitation falling from clouds in the form of ice crystals,i98073
it,1,1,"weather condition, weather, conditions",13,1,17,5,0.524,0.000955,17,weather condition,the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation,i98170
es,1,0,"weather condition, weather, conditions",6,4,9,12.666667,0.811,0.000357,2.666667,weather condition,the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation,i98170
nb,1,1,"weather condition, weather, conditions",2,1,1,3,0.186,0.000191,1,weather condition,the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation,i98170
en,0,1,"weather condition, weather, conditions",11,4,6,11.333333,0.632,0.000069,1.666667,weather condition,the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation,i98170
